timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727965479637,566,Book-Api,200,OK,Thread Group 1-44,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,566,0,381
1727965479996,599,Book-Api,200,OK,Thread Group 1-45,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,599,0,403
1727965480355,587,Book-Api,200,OK,Thread Group 1-46,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,587,0,389
1727965480716,525,Book-Api,200,OK,Thread Group 1-47,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,525,0,355
1727965481082,555,Book-Api,200,OK,Thread Group 1-48,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,555,0,372
1727965481434,572,Book-Api,200,OK,Thread Group 1-49,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,572,0,387
1727965481792,607,Book-Api,200,OK,Thread Group 1-50,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,607,0,410
1727965482150,593,Book-Api,200,OK,Thread Group 1-51,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,593,0,397
1727965482510,580,Book-Api,200,OK,Thread Group 1-52,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,580,0,387
1727965482868,524,Book-Api,200,OK,Thread Group 1-53,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,524,0,353
1727965483228,570,Book-Api,200,OK,Thread Group 1-54,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,570,0,385
1727965483588,539,Book-Api,200,OK,Thread Group 1-55,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,539,0,364
1727965483947,572,Book-Api,200,OK,Thread Group 1-56,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,572,0,386
1727965484311,585,Book-Api,200,OK,Thread Group 1-57,text,true,,3436,134,2,2,https://demoqa.com/BookStore/v1/Books%20,585,0,392
1727965485024,511,Book-Api,200,OK,Thread Group 1-59,text,true,,3436,134,3,3,https://demoqa.com/BookStore/v1/Books%20,511,0,345
